Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Nicolai Jørgensen,nl Feyenoord,4,3,258,2.9,2,2017-2018,UEFA
Marwan Kabha,si NK Maribor,6,6,524,5.8,0,2017-2018,UEFA
Shinji Kagawa,de Dortmund,5,5,402,4.5,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Dominik Kaiser,de RB Leipzig,1,0,16,0.2,0,2017-2018,UEFA
Kevin Kampl,de RB Leipzig,6,4,415,4.6,0,2017-2018,UEFA
Harry Kane,eng Tottenham,7,7,597,6.6,7,2017-2018,UEFA
N'Golo Kanté,eng Chelsea,6,6,498,5.5,0,2017-2018,UEFA
Stefanos Kapino,gr Olympiacos,1,1,90,1.0,0,2017-2018,UEFA
Loris Karius,eng Liverpool,13,13,"1,170",13.0,0,2017-2018,UEFA
Naby Keïta,de RB Leipzig,5,5,419,4.7,2,2017-2018,UEFA
Sami Khedira,it Juventus,8,8,633,7.0,0,2017-2018,UEFA
Davit Khocholava,ua Shakhtar,4,1,104,1.2,0,2017-2018,UEFA
Khetag Khosonov,ru CSKA Moscow,1,0,1,0.0,0,2017-2018,UEFA
Joshua Kimmich,de Bayern Munich,11,10,897,10.0,4,2017-2018,UEFA
Presnel Kimpembe,fr Paris S-G,3,2,198,2.2,0,2017-2018,UEFA
Simon Kjær,es Sevilla,6,6,540,6.0,1,2017-2018,UEFA
Ragnar Klavan,eng Liverpool,7,3,296,3.3,0,2017-2018,UEFA
Lukas Klostermann,de RB Leipzig,6,4,462,5.1,0,2017-2018,UEFA
Koke,es Atlético Madrid,4,4,333,3.7,0,2017-2018,UEFA
Aleksandar Kolarov,it Roma,12,12,"1,080",12.0,1,2017-2018,UEFA
Dmitri Kombarov,ru Spartak Moscow,4,4,360,4.0,0,2017-2018,UEFA
Vincent Kompany,eng Manchester City,2,2,180,2.0,0,2017-2018,UEFA
Terence Kongolo,fr Monaco,1,1,90,1.0,0,2017-2018,UEFA
Eboue Kouassi,sct Celtic,1,0,21,0.2,0,2017-2018,UEFA
Kalidou Koulibaly,it Napoli,5,5,450,5.0,0,2017-2018,UEFA
Leonardo Koutris,gr Olympiacos,5,5,450,5.0,0,2017-2018,UEFA
Mateo Kova?i?,es Real Madrid,7,4,257,2.9,0,2017-2018,UEFA
Viktor Kovalenko,ua Shakhtar,5,0,41,0.5,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Martin Kramari?,si NK Maribor,3,1,98,1.1,0,2017-2018,UEFA
Michiel Kramer,nl Feyenoord,2,1,85,0.9,0,2017-2018,UEFA
Michael Krohn-Dehli,es Sevilla,3,2,140,1.6,0,2017-2018,UEFA
Toni Kroos,es Real Madrid,12,10,952,10.6,0,2017-2018,UEFA
Serhiy Kryvtsov,ua Shakhtar,1,1,45,0.5,0,2017-2018,UEFA
Konstantin Kuchayev,ru CSKA Moscow,6,2,222,2.5,1,2017-2018,UEFA
Sven Kums,be Anderlecht,5,5,338,3.8,0,2017-2018,UEFA
Layvin Kurzawa,fr Paris S-G,6,6,540,6.0,3,2017-2018,UEFA
Ilya Kutepov,ru Spartak Moscow,3,3,270,3.0,0,2017-2018,UEFA
Léo Lacroix,ch Basel,2,2,180,2.0,0,2017-2018,UEFA
Roberto Lago,cy APOEL FC,5,5,450,5.0,0,2017-2018,UEFA
Konrad Laimer,de RB Leipzig,1,0,11,0.1,0,2017-2018,UEFA
